mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
9.163462162017822,2.54671530246795,0.02338685989379883,0.018538030387568273,0.001,{'C': 0.001},0.6471927162367223,0.6454965357967667,0.794568859107741,0.8787192755498059,0.8484184152834324,0.8022175118212946,0.8081750885098165,0.674720849350174,0.3709916132215096,0.3605171556439582,0.683101802052122,0.176663534887157,10
52.24579837322235,11.272274812378145,0.0033647775650024413,6.0637719561365735e-05,0.005,{'C': 0.005},0.6493016232540582,0.651145038167939,0.795317488471089,0.8719115734720417,0.8454976303317536,0.8105726872246696,0.8106121144318363,0.6863028550777016,0.39334637964774954,0.38625766871165645,0.6900265058790496,0.16759793080473276,9
123.848996758461,25.757840659949323,0.012861323356628419,0.012564327425645703,0.01,{'C': 0.01},0.6491493383742911,0.6512869399428026,0.7946571682991985,0.8708679368181079,0.8449367088607596,0.8139572802869721,0.8128682911291608,0.6899280575539569,0.40601503759398494,0.3957062698219078,0.6929373028681143,0.1638509094458892,8
1459.8961977243423,612.277254475776,0.029833078384399414,0.0388244654792068,0.05,{'C': 0.05},0.6483931947069944,0.6522900763358779,0.7949403171209691,0.87317951235477,0.8456907477820026,0.8214865303472899,0.8166561114629513,0.6942060085836909,0.41757180786869413,0.4077669902912621,0.6972181296854503,0.1608290159939614,6
2434.396057510376,38.06755169132277,0.045699048042297366,0.035109635278528784,0.1,{'C': 0.1},0.6475471698113208,0.654573228947871,0.79572192513369,0.8730366492146597,0.8453379768877631,0.8256999514484543,0.8164556962025316,0.6952636282394995,0.42052023121387283,0.41279069767441856,0.6986947154774082,0.1596897975411857,5
2478.665126848221,52.057776605440296,0.03031613826751709,0.024608892775583157,0.5,{'C': 0.5},0.647036617591544,0.6544272327404858,0.7959365531990733,0.8716017032427121,0.8448521271548316,0.8311268969970939,0.8167192429022082,0.6973590292648109,0.4261036468330134,0.41529525653436594,0.7000458306460139,0.15856093600264015,2
2421.8687873125077,135.6059055983567,0.03559398651123047,0.024697834999532032,1,{'C': 1},0.6465370824683903,0.6539123780371149,0.7961511047754811,0.8702490170380078,0.8439873417721518,0.8313953488372092,0.816146326080101,0.6967857142857142,0.4277844311377246,0.417311411992263,0.7000260156424158,0.1577097508510629,3
1588.5599919557571,215.85186020166634,0.021108198165893554,0.019826794396291997,5,{'C': 5},0.6478342749529191,0.6567392134402444,0.7952882384436909,0.8716516023007395,0.8418061256709821,0.8295362740345775,0.8176952141057935,0.6982881597717546,0.42945958871353423,0.41777348466553976,0.7006072176099776,0.157073495483848,1
1431.8457332372666,27.528405863668404,0.025011706352233886,0.015123801980494447,10,{'C': 10},0.6451977401129944,0.6553435114503817,0.7951549697185607,0.8666994589276931,0.8412448915435397,0.8302434305980977,0.8134788799240626,0.6978571428571428,0.4285031085604974,0.4179753563662721,0.6991698490059242,0.15648570424329752,4
1443.3246489048004,64.70779566565396,0.021486425399780275,0.01630171405264013,50,{'C': 50},0.6192678227360308,0.6369523809523809,0.7929469273743016,0.8569144684252599,0.8321099484616586,0.7948503594716603,0.8176638176638176,0.7150454623434551,0.42911153119092627,0.44562949223278464,0.6940492210852276,0.14899850253616928,7
1407.510821723938,45.55620785324368,0.013235068321228028,0.010937216881678929,100,{'C': 100},0.6144509766736204,0.6534190531852717,0.751237396883593,0.6092094539527303,0.8363336085879439,0.734091717028084,0.7885858426612012,0.686128803963199,0.5908372827804107,0.49248554913294795,0.6756779684849004,0.09859447635057729,11
