mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
24.226805210113525,4.176722576577739,0.02060990333557129,0.018088574470637366,0.001,{'C': 0.001},0.8711411073615798,0.8731231231231232,0.7479601087941975,0.7418051189941626,0.7963055416874688,0.7999506660088801,0.74594925099358,0.7650574712643678,0.5236670772479324,0.513293543136191,0.7378253008611483,0.11855905804981748,7
38.039962482452395,1.6018873257280561,0.015275955200195312,0.008499080343741439,0.005,{'C': 0.005},0.8696197766344584,0.870526183599146,0.7548931044866005,0.7466507889252754,0.8076291524567387,0.8104803493449781,0.7900386431945041,0.803561171740379,0.555901696088612,0.5470055091523014,0.7556306375622994,0.10903456773906091,6
73.2760730266571,21.895641235226908,0.013294672966003418,0.006153155286123523,0.01,{'C': 0.01},0.8691283597086159,0.8694011071967791,0.7589527535359615,0.7531231409875075,0.8115316230632461,0.8148984198645599,0.7959875671093529,0.8103668035688996,0.5621864729285591,0.5569530558015943,0.7602529303765075,0.10666998965686893,5
278.4445497751236,74.07884664237662,0.017960572242736818,0.016266897909020087,0.05,{'C': 0.05},0.8650012616704518,0.8690716448032292,0.7590977443609023,0.7549136390708755,0.8197943444730077,0.8236037402072277,0.8014450465471724,0.8202918693537179,0.5713297596403251,0.5706741770814997,0.765522322720841,0.10346880733669933,4
459.236273932457,19.281051281460222,0.018386363983154297,0.01770769013927573,0.1,{'C': 0.1},0.864400353848098,0.8682150971976773,0.7594403490296374,0.7550655542312277,0.8203477141017385,0.8264840182648402,0.80265707168558,0.8218836565096953,0.5738498789346247,0.5730870712401056,0.7665430765043224,0.10271610346384295,3
0.38100993633270264,0.26046576291726015,0.0,0.0,0.5,{'C': 0.5},,,,,,,,,,,,,8
0.2898540019989014,0.13216168595420585,0.0,0.0,1,{'C': 1},,,,,,,,,,,,,9
0.2662747621536255,0.19487200432685384,0.0,0.0,5,{'C': 5},,,,,,,,,,,,,10
769.3942641019821,387.1327260839358,0.0243424654006958,0.027350546680662422,10,{'C': 10},,,0.7648206513582472,0.7607983318439082,0.8252778495735332,0.8278844930670398,0.8063143445435826,0.8227498619547211,0.577693370165746,0.5803728455856489,,,11
884.4305243730545,185.80990517453037,0.019927310943603515,0.017024414488476993,50,{'C': 50},0.8639979795428715,0.8655250566607908,0.7644057623049221,0.7612807148175726,0.8254912099276112,0.8281826274958667,0.8060398078242964,0.8229770781552057,0.577693370165746,0.580872011251758,0.7696465618146641,0.10069155671542392,2
576.4197448968887,66.31527560498482,0.02329871654510498,0.015648684823801776,100,{'C': 100},0.8639979795428715,0.8655250566607908,0.7648912228057014,0.7612807148175726,0.8255979314802845,0.8282879674383108,0.8060398078242964,0.8229770781552057,0.5773017792364831,0.5809741515737648,0.7696873689535282,0.10075675466911627,1
